name	Fellow	PostDoc	Total	No.	Price	2013-JCR Impact Factor	2012Download	2013Download	2014Download	Chun-Houh Chen	Jeng-Min Chiou	Hsien-Kuei Hwang	Michelle Liou	chen-Hsin Chen	Ming-Tien Tsai	Yi-Ching Yao	Hwai-Chung Ho	Chi-Lun Cheng	Su-Yun Huang	Hsin-Cheng Huang	Yi-Hau Chen	Shwu-Rong Grace Shieh	I-Ping Tu	Feng-Shun Chai	Tsung-Hsi Tsai	Hsin-Chou Yang	Shin-Sheng Yuan	Ting-Li Chen	Wei-Chung Liu	Hsuan-Yu Chen	Arthur Chih-Hsin Tsai	Chien-Yu Peng	Ci-Ren jiang	Tso-Jung Yen	Hsin-Wen Chang	Yu-Tseng Chu	Wei-Cheng Hsiao	Chih-Yuan Hsu	Yi-Chiung Hsu	Man-Jen Hsu	Shih-Hao Huang	Hsin-I Lee	Bowen Li	Yi-Ran Lin	Chih-Wen Ou-yang	Chun-Hao Pan	Yuh-Chyuan Tsay	Tai-Chi Wang	Chang-Yi Weng	Andrew S. Woolston	Chi-Chuan Yang	Chiao-Yi Yang
Journal of the Royal Statistical Society. Series C: Applied Statistics	13	10	23	61	590.34	1.418	114	117	80	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0
Journal of Theoretical Probability	9	2	11	62	1495.63	0.792	78	110	168	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Journal of Time Series Analysis	8	5	13	63	2857.6	0.808	145	146	76	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
Lifetime Data Analysis	8	7	15	64	1051.69	0.536	194	209	158	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
Macworld 	1	0	1	65	20.35	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manufacturing Engineering	1	1	2	66	219.04	0.086	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mathematical Finance	1	1	2	67	1862.36	1.348	68	89	82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Mathematical Geosciences	1	1	2	68	2303.47	1.713	56	115	67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Mathematical Methods of Operations Research (ZOR)	1	0	1	69	1635.06	0.539	56	85	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mathematical Methods of Statistics	3	2	5	70	1408.09	NA	27	50	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Memoirs of the American Mathematical Society	1	2	3	71	946.47	1.782	39	46	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Memory & Cognition	1	0	1	72	610.26	2.021	59	1762	55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methodology and Computing in Applied Probability	1	4	5	73	875.37	0.778	28	67	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Metrika	7	3	10	74	1293.05	0.45	132	200	138	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Metron	2	0	2	75	201.02	NA	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multivariate Behavioral Research	2	0	2	76	947.48	2.971	37	55	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
National Geographic	1	0	1	77	58.07	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nature	14	5	19	78	3773.63	42.351	NA	NA	NA	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1
Naval Research Logistics	1	0	1	79	2769.72	0.563	136	89	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operations Research	3	1	4	80	716.22	1.5	NA	NA	NA	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Operations Research & Management Science	0	1	1	81	504.31	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Opsearch	0	0	0	82	189.5	NA	19	28	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Probability in the Engineering and Information Sciences	4	1	5	83	1059.8	0.328	34	63	27	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Probability Theory and Related Fields	10	2	12	84	2120.89	1.458	164	270	322	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Psychological Bulletin	2	0	2	85	1175.7	14.392	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychological Methods	2	0	2	86	654.07	5.708	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychological Review	2	0	2	87	965.82	7.719	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychology Today	1	0	1	88	30.55	NA	NA	NA	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychometrika	7	1	8	89	397.67	1.961	187	275	173	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Quality	1	1	2	90	242.47	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Quality and Quantity	2	1	3	91	2881.84	0.761	73	121	131	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Quality and Reliability Engineering International	3	1	4	92	3290.69	0.994	155	160	112	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Quality Control & Applied Statistics	2	1	3	93	504.31	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Quality Engineering	1	1	2	94	1501.71	0.355	28	32	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
